ID	CS.20_vs_M.Ctr_ratio	CS.20_vs_M.Ctr_p.adj
WDR1	-1.2	0.00203
MYO1D	-2.67	0.000557
MAP1B	-1.33	0.00457
NCL	-1.46	0.00212
EIF3B	-3.23	0.00173
PCBP3	-1.26	0.0359
PREP	-3.74	0.00158
PPP2R1B	-2.7	0.00955
RRBP1	-1.44	0.00794
INA	-1.81	0.0491
STRN3	-1.12	0.0145
EHD3	-1.05	0.0164
EIF2S2	-1.18	0.00505
PTPN11	-1.58	0.00859
STK24	-1.14	0.0348
ACAP2	-1.03	0.042
NAP1L4	-1.17	0.0228
DRG1	-1.03	0.0348
UBQLN2	-1.18	0.0297
GART	-1.58	0.0145
MTDH	-1.79	0.00777
BABAM2	-1.17	0.0149
KRT80	-2.62	0.0145
ENAH	-1.71	0.00615
UBXN4	-1.97	0.0304
CDV3	-1.08	0.0135
HGS	-1.17	0.0279
CDH2	-2.2	0.0338
ME2	-3.25	0.000547
STOML2	-1.14	0.0192
CERT1	-1.04	0.0186
DNAJB1	-2.43	0.0133
EIF5B	-2.1	0.0195
SLK	-1.16	0.0123
PUF60	-4.59	0.0148
SNX4	-1.54	0.00724
PTPN12	-1.65	0.0209
NAPG	-1.07	0.0158
AFAP1	-2.13	0.00403
BASP1	-2.32	0.0401
ACAA1	-1.59	0.00144
TIAL1	-1.73	0.00272
PIP4K2B	-3.85	0.0117
ATG3	-1.05	0.0376
UBE4B	-1.08	0.0125
WDR26	-1.17	0.0245
NAE1	-2.24	0.00124
ARIH1	-3.68	0.0255
ARMCX3	-1.48	0.0406
PPP2R5E	-2.35	0.035
CIAO1	-3.03	0.0496
PPP1R12C	-1.43	0.00335
ATAD3B	-2.54	0.00812
MMS19	-2.05	0.00165
ARFGEF1	-1.69	0.0137
TBC1D13	-2.49	0.00292
COG5	-1.4	0.0209
YTHDF3	-1.5	0.0114
PFKM	-1.79	0.0186
FILIP1L	-4.3	0.000573
RIC8A	-2.65	0.0286
UBE4A	-1.27	0.0161
HDAC1	-3.38	0.0125
TNPO3	-2.07	0.00173
FYCO1	-1.49	0.0316
FAM107B	-1.57	0.0472
SIL1	-1.58	0.0334
PRRX1	-2.24	0.00373
WASHC2C	-1.61	0.0101
VPS33A	-1.07	0.03
SNX7	-2.75	0.00447
PRPF6	-2.17	0.0133
LARP4B	-4.48	0.00182
NUP54	-2.62	0.0261
CLPX	-1.15	0.00691
ITGA6	-2.08	0.00586
YTHDF2	-1.07	0.0277
STRN4	-3.34	0.000326
COG4	-1.86	0.00637
RNF149	-2.83	0.00134
GPHN	-2.74	0.00216
MTA2	-2.02	0.00359
ITPRID2	-1.17	0.00447
SF3A3	-4.59	0.000547
ALDH4A1	-4.66	0.000261
VPS50	-2.14	0.0149
RABGEF1	-2.99	0.00457
AGO2	-1.99	0.0452
PPP1R9B	-2.44	0.0181
