ID	X10_vs_X5_ratio	X10_vs_X5_p.adj
ACAA1	-1.08	0.0188
ADRM1	-1.21	0.0235
ALDOC	-1.05	0.0473
ANKH	-1.22	0.0463
ANXA3	-1.52	0.0238
APCS	-7.19	0.00837
APMAP	-1.52	0.0142
AUH	-1.69	0.0407
BDH1	-1.06	0.0235
CAPRIN1	-1.12	0.0409
CDH2	-2.86	0.0269
CHMP2A	-1.75	0.0236
COL18A1	-4.13	0.0335
CSTA	-4.46	0.0104
CTSD	-1.51	0.0407
DCLK1	-1.79	0.0228
DDX5	-1.14	0.015
DNAJC25	-1.28	0.015
DRG1	-1.66	0.0328
DSG1	-3.47	0.0238
DSP	-1.62	0.0364
EIF1B	-2.19	0.0299
EIF3B	-1.22	0.0487
FILIP1L	-3.02	0.0307
FTL	-1.33	0.0363
GALK2	-1.12	0.032
GET4	-1.07	0.0262
GLO1	-1.14	0.0497
HDAC1	-4.35	0.0104
HGFAC	-1.53	0.0351
HMOX1	-1.1	0.015
HSPB1	-1.06	0.0173
KIF2A	-1.07	0.0231
KRT14	-2.82	0.0174
KRT6A	-2.34	0.0326
KRT80	-2.58	0.0255
KRT9	-2.58	0.0223
LAMP1	-1.27	0.0266
LMOD1	-1.1	0.0238
LOX	-1.99	0.0136
LRRFIP2	-1.41	0.0131
ME2	-2.56	0.00837
MTA2	-1.42	0.0309
NAPG	-1.26	0.0295
NUDT4	-1.79	0.0136
OPA1	-1.33	0.0312
P2RX4	-2.06	0.0461
PFKM	-2.31	0.015
PGRMC1	-1.15	0.0346
PHLDB1	-1.26	0.0447
PIP	-4.72	0.0209
PITHD1	-1.34	0.0223
PITPNB	-2.34	0.026
PLBD2	-1.26	0.0407
PPP2R1B	-2.56	0.0478
PRDX3	-1.05	0.0269
PRDX4	-1.15	0.0255
PRDX6	-1	0.0235
PRRX1	-1.47	0.0235
PTMA	-1.97	0.0223
RAB24	-1.31	0.0291
RAB4A	-1.63	0.0163
RABEP2	-2.1	0.042
RARS1	-1.12	0.0136
RCN2	-1.03	0.0486
RNF149	-1.99	0.0416
RPS7	-2.04	0.0115
RUVBL2	-1.1	0.0269
SARNP	-1.2	0.0291
SCAMP3	-1.11	0.0311
SEPTIN9	-1.3	0.0136
SLC12A4	-1.57	0.0365
SLC2A1	-1.09	0.0279
SNRPB2	-1.68	0.0423
SNX7	-2.21	0.013
SPTLC2	-1.49	0.0423
STIM1	-2.68	0.0351
STK25	-1.23	0.0173
STUB1	-1.24	0.0488
SUMF2	-1.12	0.042
TFG	-1.28	0.0134
TIAL1	-1.04	0.0309
TIMP3	-1.51	0.0171
TPM1	-1.14	0.0218
UBE2G2	-1.24	0.0255
VTA1	-1.25	0.0133
