ID	X20_vs_X5_ratio	X20_vs_X5_p.adj
AACS	4.28	0.000943
AAK1	3.23	0.0125
ABCC1	4.49	0.00151
ABCF1	3.05	0.00574
ABCF2	3.49	0.000712
ABHD12	2.35	0.00794
ACAA1	2.3	0.0182
ACAA2	1.76	0.00641
ACAD9	3.66	0.00185
ACADS	2.59	0.0246
ACADSB	4.48	0.000581
ACAP2	2.7	0.0126
ACAT1	3.25	0.0118
ACOT9	6.11	0.00114
ACOX1	3.58	0.00348
ACP2	5.02	0.012
ACSL4	5.3	0.00741
AFG3L2	3.7	0.000701
AGPAT1	3.75	0.000289
AGPS	2.37	0.0352
AHNAK	3.19	0.000244
AIFM1	2.29	0.00418
AK3	3.48	0.000213
AKT1	1.9	0.0124
ALDH18A1	5.65	0.0403
ALDH2	4.92	0.000261
ALDH7A1	2.48	0.000664
ALYREF	4.78	0.00029
ANKH	4.4	0.000244
ANKHD1	2.06	0.00301
ANKRD46	6.31	0.000451
ANO6	2.54	0.00446
ANXA11	2.73	0.000674
AP1G1	2.61	0.043
AP1M1	4.83	0.000289
AP2M1	2.05	0.0112
AP3D1	5.79	0.000156
APEH	4.45	0.000162
APLP2	1.86	0.01
APMAP	4.96	0.000604
APPL1	1.04	0.0176
ARAF	4.83	0.000144
ARCN1	3.54	0.0175
ARF6	1.97	0.00873
ARFGAP1	3.65	0.00621
ARFRP1	1.84	0.0102
ARHGEF17	2.44	0.00225
ARL1	1.39	0.034
ARL6IP1	2.63	0.000927
ARL8B	1.93	0.000993
ARMCX3	2.1	0.00941
ASCC3	2.52	0.000798
ASL	5.8	0.000377
ATAD3A	4.66	0.000664
ATG16L1	2.84	0.0245
ATG7	1.66	0.00575
ATL3	5.43	0.0326
ATP13A1	5.24	0.00322
ATP1A1	2.07	0.0016
ATP2A2	1.6	0.0228
ATP2B1	5.5	0.00641
ATP5F1B	3.49	0.000465
ATP5F1D	6.12	0.000664
ATP5MK	4.6	0.000124
ATP5PD	4.52	0.000244
ATP5PO	5.5	0.000162
ATP6V0A1	4.11	0.000289
ATP6V0D1	1.56	0.00861
ATP6V1B2	1.61	0.0463
