Gene.ID	GCCK1431_S72_5mM	GCCK1431_S73_10mM
AC007192.4	0	189.5957993
AC023908.1	0	37.28253947
AC027682.1	0	137.6783082
APOL3	36.82427658	98.785924
ASAH2	7.925987151	38.42894402
CEMP1	0	32.22128534
CMPK2	99.95160787	262.2095514
CTC-432M15.3	0	22.35488873
CTD-2331H12.8	0	27.5137092
EREG	204.2870582	439.646145
FAM110C	5.260610941	35.36779995
IL1A	98.19807089	215.8655376
IL1RN	681.2491168	1635.17535
MT1G	17.78963266	117.0064389
NRG1	113.9799037	231.7200687
POC1B-GALNT4	5.085257243	38.62407671
PTGS2	241.9881033	728.0888473
RAB4B-EGLN2	4.243559492	43.89265932
RGPD6	130.8489295	363.2151097
RP11-106M3.2	8.153946958	42.27061884
RP11-108K14.8	0	18.58638866
RP11-20I23.1	0	14.84228019
RP11-432B6.3	0	19.30594046
RP11-512M8.5	20.48131193	80.65077968
RP11-552F3.12	0	27.83079982
RP11-566K11.2	0	25.24529169
RP11-717K11.2	0	14.02516205
SKIL	86.80008052	192.6935308
SMIM11B	0.578667203	50.35642966
TNFSF15	180.0356418	388.89945
ZRSR1	0	16.07405529
