Gene.ID	GCCK1431_S72_5mM	GCCK1431_S74_20mM
AC069368.3	39.31883778	0
ADGRL1	250.3079614	116.2533699
AL021546.6	20.66599539	0
AL513523.2	23.56992405	0
AMIGO3	21.04012117	0
AP003419.11	50.56042666	0
ARL2-SNX15	36.71777285	0
CD3EAP	109.3338049	31.62315226
CDKN2B	565.6603618	273.9331811
CISH	23.53429303	1.117820865
CORO7-PAM16	69.03511392	0
CTC-360G5.8	16.22102483	0.044712835
CTD-2192J16.22	58.17655858	14.17396856
CTD-2410N18.5	15.18772506	0
CTD-2545G14.7	78.25464203	0
CXCR5	27.61404557	0
DHRS3	587.0211622	291.7512457
EEF1A2	631.5599454	290.6334248
FKBP1C	93.4423671	31.6790433
ID3	1429.374261	702.103285
LA16c-306E5.2	106.7238322	27.99023445
LRRN4CL	513.1758597	245.853521
MMP15	652.9385613	324.1680507
NGFR	171.0289274	59.24450582
PDZK1IP1	70.37127741	20.12077556
PHYHIP	72.15282874	22.35641729
PRRX2	173.7012544	74.89399793
RP11-1035H13.3	68.89258981	12.83258353
RP11-196G11.1	19.44563273	0
RP11-2C24.9	743.6729704	269.8084221
RP11-561B11.2	74.81624797	10.58576359
RP11-96O20.4	61.99798618	13.04496949
RP11-977G19.10	183.5710487	80.84080493
RP4-613B23.5	27.17756549	0
SCG2	1263.119891	622.6262216
SLC22A17	48.44038058	7.51175621
SPON2	574.5592107	277.2195744
SULT1A3	189.1383966	76.1571355
TMEM143	172.8104787	74.89399793
TSPAN10	424.7930984	208.5183041
XXbac-BPG246D15.9	24.47851523	0
